"company","total_Layoffs"
"Amazon",18150.0
"Google",12000.0
"Meta",11000.0
"Salesforce",10090.0
"Microsoft",10000.0
"Philips",10000.0
"Ericsson",8500.0
"Uber",7585.0
"Dell",6650.0
"Booking.com",4601.0
"Cisco",4100.0
"Peloton",4084.0
"Byju's",4000.0
"Carvana",4000.0
"Twitter",3940.0
"Better.com",3900.0
"IBM",3900.0
"Groupon",3800.0
"Bytedance",3750.0
"Katerra",3074.0
"SAP",3000.0
"Swiggy",2880.0
"Wayfair",2620.0
"Ola",2600.0
"Gopuff",2300.0
"Twilio",2300.0
"Zillow",2300.0
"Crypto.com",2260.0
"Coinbase",2110.0
"WhiteHat Jr",2100.0
"PayPal",2083.0
"Airbnb",1930.0
"Instacart",1877.0
"OYO",1850.0
"Lyft",1742.0
"Stitch Fix",1730.0
"Yahoo",1600.0
"Redfin",1568.0
"Agoda",1500.0
"OLX Group",1500.0
"PaisaBazaar",1500.0
"PuduTech",1500.0
"Unacademy",1500.0
"DocuSign",1351.0
"GoTo Group",1300.0
"Juul",1300.0
"Lam Research",1300.0
"Stone",1300.0
"Toast",1300.0
"Vacasa",1300.0
"Zoom",1300.0
"Loft",1289.0
"Snap",1280.0
"DoorDash",1250.0
"Shutterfly",1160.0
"Opendoor",1150.0
"Shopify",1150.0
"WeWork",1150.0
"Vedantu",1109.0
"Capital One",1100.0
"Kraken",1100.0
"MindBody",1100.0
"OneTrust",1100.0
"Compass",1096.0
"Doma",1075.0
"Yelp",1063.0
"Robinhood",1053.0
"Stripe",1050.0
"Butler Hospitality",1000.0
"Invitae",1000.0
"Magic Leap",1000.0
"Noom",995.0
"GoDaddy",981.0
"LinkedIn",960.0
"NetApp",960.0
"Curefit",920.0
"Black Shark",900.0
"Jumia",900.0
"TripAdvisor",900.0
"Vroom",882.0
"Rivian",880.0
"Blend",860.0
"Playtika",850.0
"Gorillas",840.0
"Arrival",800.0
"GoHealth",800.0
"Klarna",800.0
"Loggi",800.0
"Flywheel Sports",784.0
"Cazoo",750.0
"Reef",750.0
"Sema4",750.0
"Sonder",750.0
"Deliveroo",717.0
"Intuit",715.0
"ShareChat",701.0
"Amdocs",700.0
"MakeMyTrip",700.0
"Cerebral",685.0
"Lending Club",685.0
"Argo AI",682.0
"Deliv",669.0
"Meesho",650.0
"Misfits Market",649.0
"Flexport",640.0
"Clear Capital",628.0
"Zomato",620.0
"HelloFresh",611.0
"Bybit",600.0
"Cars24",600.0
"MFine",600.0
"Spotify",600.0
"Eventbrite",580.0
"Huobi",575.0
"Cue",558.0
"Delivery Hero",556.0
"Infarm",550.0
"Bird",544.0
"Intel",544.0
"Careem",536.0
"Udaan",530.0
"Workday",525.0
"Hootsuite",520.0
"Netflix",505.0
"Upstart",505.0
"Affirm",500.0
"Atlassian",500.0
"Avo",500.0
"Blackbaud",500.0
"eBay",500.0
"Flyhomes",500.0
"HubSpot",500.0
"Illumina",500.0
"Jump",500.0
"Lendingkart",500.0
"PagBank",500.0
"Paytm",500.0
"Thoughtworks",500.0
"TomTom",500.0
"WeDoctor",500.0
"Bounce",490.0
"Unity",484.0
"SiriusXM",475.0
"Wix",470.0
"Gympass",467.0
"Root Insurance",467.0
"The RealReal",465.0
"OneWeb",451.0
"UiPath",451.0
"Carbon Health",450.0
"Informatica",450.0
"Livspace",450.0
"Olive",450.0
"Sophos",450.0
"Workrise",450.0
"Gojek",430.0
"Zendesk",430.0
"Thumbtack",410.0
"Ebanx",402.0
"Alerzo",400.0
"AliExpress Russia",400.0
"Cvent",400.0
"Enjoy",400.0
"ezCater",400.0
"Kry",400.0
"Oriente",400.0
"Pico Interactive",400.0
"Pluralsight",400.0
"SWVL",400.0
"ZipRecruiter",400.0
"Splunk",395.0
"Renmoney",391.0
"Just Eat Takeaway",390.0
"Hopin",380.0
"CommerceHub",371.0
"Grab",360.0
"Moladin",360.0
"Velodyne Lidar",360.0
"8x8",355.0
"iFood",355.0
"Meero",350.0
"Sea",350.0
"SkipTheDishes",350.0
"Toppr",350.0
"TuSimple",350.0
"KeepTruckin",349.0
"FarEye",340.0
"Sage Therapeutics",340.0
"Wish",340.0
"Innovaccer",335.0
"Latch",335.0
"Luno",330.0
"Freshly",329.0
"Truepill",325.0
"Okta",324.0
"Dropbox",315.0
"Fate Therapeutics",315.0
"Bolt",307.0
"Nuro",307.0
"Ribbon",306.0
"AppLovin",300.0
"Color Health",300.0
"Cybereason",300.0
"Glassdoor",300.0
"GoStudent",300.0
"iFit",300.0
"Klook",300.0
"Lacework",300.0
"Lightspeed Commerce",300.0
"Proterra",300.0
"Samsara",300.0
"SAP Labs",300.0
"SEND",300.0
"Skyscanner",300.0
"Sojern",300.0
"Sono Motors",300.0
"StockX",300.0
"Teladoc Health",300.0
"Tencent",300.0
"Trax",300.0
"Trell",300.0
"TripActions",300.0
"Wave",300.0
"Wildlife Studios",300.0
"New Relic",290.0
"Monzo",285.0
"Neon",280.0
"RenoRun",280.0
"FrontRow",275.0
"Bitpanda",270.0
"BookMyShow",270.0
"DataRobot",270.0
"Nutanix",270.0
"Qualtrics",270.0
"Pollen",269.0
"Voi",265.0
"Tonal",262.0
"Automation Anywhere",260.0
"Blockchain.com",260.0
"Facily",260.0
"Plaid",260.0
"Tier Mobility",260.0
"Everlane",257.0
"Airtable",254.0
"Western Digital",251.0
"Autodesk",250.0
"B8ta",250.0
"Big Fish Games",250.0
"BlockFi",250.0
"Glovo",250.0
"HOOQ",250.0
"Houzz",250.0
"Magicbricks",250.0
"Mozilla",250.0
"OLX India",250.0
"Stoqo",250.0
"Swappie",250.0
"TravelTriangle",250.0
"Verily",250.0
"Glossier",249.0
"QuintoAndar",248.0
"Pegasystems",245.0
"SoundHound",245.0
"ThredUp",243.0
"Beyond Meat",240.0
"NS8",240.0
"Inspirato",239.0
"TaskUs",238.0
"Motive",237.0
"Clearco",235.0
"Recur Forever",235.0
"Embark Trucks",230.0
"Rupeek",230.0
"Snyk",228.0
"Hotmart",227.0
"Clutch",226.0
"iRobot",225.0
"AvantStay",224.0
"LivePerson",223.0
"Electric",222.0
"Confluent",221.0
"ServiceTitan",221.0
"Stay Alfred",221.0
"Bizzabo",220.0
"Zoox",220.0
"Ritual",219.0
"TrueCar",219.0
"Kitopi",217.0
"Zeus Living",217.0
"Article",216.0
"Olive AI",215.0
"Intercom",212.0
"OneFootball",212.0
"SecureWorks",212.0
"Twiga",211.0
"AdRoll",210.0
"Oda",210.0
"Waymo",209.0
"Jellysmack",208.0
"Britishvolt",206.0
